#New Nodes: 
1585 140
1590 816
1591 360
1592 1504
1593 1107
1604 1410
1607 816
1608 114
1618 636
1620 31
1621 1128
1621 1368
1622 706
1623 508
1633 1548
1637 337
1637 468
1639 337
1642 53
1643 328
1643 980
1644 1432
1645 705
1647 923
1648 1107
1648 1499
1648 1564
1652 839
1660 845
1663 1525
1668 1316
1669 403
1670 229
1670 859
1675 507
1675 573
1678 1543
1680 1440
1680 615
1681 132

 #Exit Nodes: 
1587 915
1590 294
1590 752
1591 448
1591 861
1591 927
1592 1505
1593 1108
1593 1500
1594 728
1595 640
1596 784
1598 51
1601 208
1607 708
1608 50
1628 706
1635 795
1635 839
1638 224
1639 729
1641 1021
1642 54
1647 902
1648 3
1649 317
1650 1288
1654 1543
1658 1042
1660 846
1666 163
1670 860
1673 1295
1673 190
1674 1024
1674 329
1676 845
1676 910
1678 1064
1678 1282
1680 594
